state,prov_type,prov_description,source_id,board_name,board_profession_codes,lic_prefix_in_psv,psv_row_count,routing_status
NY,DP,Doctor of Podiatric Medicine,NY_CREDENTIALS,New York State Education Department - Office of the Professions (Multi-Profession),"MD,DO,RN,DDS,RPh,PT,OT,Multi-Profession","(none):13, N:1",14,CONFIGURED
NY,DT,Dietitian/Nutritionist,,,,(none):103,103,NOT_CONFIGURED
NY,LC,Licensed Counselor,,,,(none):2,2,NOT_CONFIGURED
NY,LPC,Licensed Professional Counselor,,,,(none):57,57,NOT_CONFIGURED
NY,MT,Massage Therapist,,,,(none):12,12,NOT_CONFIGURED
NY,MW,Midwife,,,,(none):8,8,NOT_CONFIGURED
NY,NP,Nurse Practitioner,,,,"(none):268, F:23, SP:2, RN:1, MA:1",295,NOT_CONFIGURED
NY,NPB,Nurse Practitioner (Broadened),,,,(none):6,6,NOT_CONFIGURED
NY,NUT,Nutritionist,,,,(none):2,2,NOT_CONFIGURED
NY,OP,Optometrist (OP),,,,(none):2,2,NOT_CONFIGURED
NY,OT,Occupational Therapist,NY_CREDENTIALS,New York State Education Department - Office of the Professions (Multi-Profession),"MD,DO,RN,DDS,RPh,PT,OT,Multi-Profession",(none):28,28,CONFIGURED
NY,PAB,Physician Assistant (Board),,,,(none):1,1,NOT_CONFIGURED
NY,PAS,Physician Assistant,,,,(none):40,40,NOT_CONFIGURED
NY,PH,Pharmacist,NY_CREDENTIALS,New York State Education Department - Office of the Professions (Multi-Profession),"MD,DO,RN,DDS,RPh,PT,OT,Multi-Profession","(none):704, WC:1, A:1",706,CONFIGURED
NY,PN,Practical Nurse (LPN),,,,"(none):52, F:3",55,NOT_CONFIGURED
NY,PT,Physical Therapist,NY_CREDENTIALS,New York State Education Department - Office of the Professions (Multi-Profession),"MD,DO,RN,DDS,RPh,PT,OT,Multi-Profession",(none):142,142,CONFIGURED
NY,RNA,Registered Nurse Anesthetist,,,,(none):5,5,NOT_CONFIGURED
NY,SH,Speech-Language Pathologist,,,,(none):21,21,NOT_CONFIGURED
NY,ST,Speech Therapist,,,,(none):1,1,NOT_CONFIGURED
NY,SW,Social Worker,,,,"(none):167, R:5, P:1",173,NOT_CONFIGURED
OH,ABA,Applied Behavior Analyst,,,,"(none):5, COBA:1",6,NOT_CONFIGURED
OH,AP,Acupuncturist,,,,(none):4,4,NOT_CONFIGURED
OH,AU,Audiologist,,,,A:1,1,NOT_CONFIGURED
OH,CP,Clinical Psychologist,,,,"(none):6, PSYPACT:4, P:3, E:2, LICDC:1",16,NOT_CONFIGURED
OH,DAC,Drug & Alcohol Counselor,,,,"LICDC:8, CDCA:1, E:1",10,NOT_CONFIGURED
OH,DC,Doctor of Chiropractic,,,,"DC:166, (none):6, ACUP:2",174,NOT_CONFIGURED
OH,DP,Doctor of Podiatric Medicine,,,,(none):16,16,NOT_CONFIGURED
OH,DT,Dietitian/Nutritionist,,,,"LD:11, (none):5",16,NOT_CONFIGURED
OH,LC,Licensed Counselor,,,,L:4,4,NOT_CONFIGURED
OH,LPC,Licensed Professional Counselor,,,,"E:115, C:19, CDCA:3, LICDC:3, S:3, I:2, LCDCIII:1, LPC:1, KY:1",148,NOT_CONFIGURED
OH,MST,MST,,,,(none):1,1,NOT_CONFIGURED
OH,MT,Massage Therapist,,,,"F:3, C:2, M:1",6,NOT_CONFIGURED
OH,MW,Midwife,,,,"DOU:1, APRN:1, (none):1",3,NOT_CONFIGURED
OH,NP,Nurse Practitioner,,,,"APRN:199, RN:136, (none):40, CNP:6, COA:4, APRNCNP:2, NP:1, SP:1, F:1",390,NOT_CONFIGURED
OH,NPB,Nurse Practitioner (Broadened),,,,"APRN:4, RN:2, AP:1",7,NOT_CONFIGURED
OH,OT,Occupational Therapist,,,,"OT:1, PT:1",2,NOT_CONFIGURED
OH,PAB,Physician Assistant (Board),,,,(none):2,2,NOT_CONFIGURED
OH,PAS,Physician Assistant,,,,(none):71,71,NOT_CONFIGURED
OH,PH,Pharmacist,,,,"(none):577, WC:1, C:1",579,NOT_CONFIGURED
OH,PN,Practical Nurse (LPN),,,,"APRN:7, (none):4, RN:4",15,NOT_CONFIGURED
OH,PT,Physical Therapist,,,,"PT:85, (none):5, CP:3, PTO:1",94,NOT_CONFIGURED
OH,RNA,Registered Nurse Anesthetist,,,,"APRN:2, (none):1",3,NOT_CONFIGURED
OH,SH,Speech-Language Pathologist,,,,"COND:1, SP:1",2,NOT_CONFIGURED
OH,SW,Social Worker,,,,"I:97, S:24, LICDC:4, CDCA:2, (none):2, APS:1",130,NOT_CONFIGURED
OK,ABA,Applied Behavior Analyst,,,,(none):16,16,NOT_CONFIGURED
OK,AU,Audiologist,,,,(none):11,11,NOT_CONFIGURED
OK,CP,Clinical Psychologist,,,,"(none):39, PSYPACT:1",40,NOT_CONFIGURED
OK,DAC,Drug & Alcohol Counselor,OK_ADAC,Oklahoma State Board of Licensed Alcohol and Drug Counselors,"LADC,CADC,CADCI","(none):2, LMFT:1",3,CONFIGURED
OK,DC,Doctor of Chiropractic,,,,(none):1,1,NOT_CONFIGURED
OK,DT,Dietitian/Nutritionist,OK_MEDBOARD,Oklahoma Board of Medical Licensure and Supervision,"MD,PA,OT,PT,POD,RC,AT,LD",(none):2,2,CONFIGURED
OK,LC,Licensed Counselor,,,,"L:4, R:1",5,NOT_CONFIGURED
OK,LPC,Licensed Professional Counselor,,,,"(none):8, LPC:4, LMFT:1",13,NOT_CONFIGURED
OK,MT,Massage Therapist,,,,"LMFT:29, (none):8",37,NOT_CONFIGURED
OK,NP,Nurse Practitioner,,,,"R:87, (none):70, M:1, APN:1",159,NOT_CONFIGURED
OK,NPB,Nurse Practitioner (Broadened),,,,"R:3, (none):1",4,NOT_CONFIGURED
OK,PAB,Physician Assistant (Board),,,,(none):1,1,NOT_CONFIGURED
OK,PAS,Physician Assistant,OK_MEDBOARD,Oklahoma Board of Medical Licensure and Supervision,"MD,PA,OT,PT,POD,RC,AT,LD","(none):123, OK:1",124,CONFIGURED
OK,PE,PE,,,,(none):1,1,NOT_CONFIGURED
OK,PH,Pharmacist,,,,(none):201,201,NOT_CONFIGURED
OK,PN,Practical Nurse (LPN),,,,"(none):11, R:9, APRN:1",21,NOT_CONFIGURED
OK,PT,Physical Therapist,OK_MEDBOARD,Oklahoma Board of Medical Licensure and Supervision,"MD,PA,OT,PT,POD,RC,AT,LD",(none):50,50,CONFIGURED
OK,RNA,Registered Nurse Anesthetist,,,,"R:5, (none):2",7,NOT_CONFIGURED
OK,SH,Speech-Language Pathologist,,,,(none):19,19,NOT_CONFIGURED
OK,ST,Speech Therapist,,,,(none):2,2,NOT_CONFIGURED
OK,SW,Social Worker,,,,"(none):123, LCSW:1",124,NOT_CONFIGURED
OR,ABA,Applied Behavior Analyst,OR_HLO,Oregon Health Licensing Office,"AT,DIET,HAIR,NAIL,ABA,HEAR,RT,EMS,CW","(none):36, ABA:7, B:4, C:1",48,CONFIGURED
OR,AU,Audiologist,OR_SLP,Oregon Board of Examiners for Speech-Language Pathology and Audiology,"SLP,SLPA,AUD",(none):18,18,CONFIGURED
OR,CP,Clinical Psychologist,,,,(none):45,45,NOT_CONFIGURED
OR,DAC,Drug & Alcohol Counselor,,,,(none):2,2,NOT_CONFIGURED
OR,DC,Doctor of Chiropractic,,,,(none):5,5,NOT_CONFIGURED
OR,DP,Doctor of Podiatric Medicine,,,,DP:17,17,NOT_CONFIGURED
OR,DT,Dietitian/Nutritionist,,,,"(none):79, LD:39, D:7, LDD:1",126,NOT_CONFIGURED
OR,LC,Licensed Counselor,OR_COUNSELORS,Oregon Board of Licensed Professional Counselors and Therapists,"LPC,LMFT","LC:5, (none):3",8,CONFIGURED
